# Individual alphabet characters
dang3	d ang3
dang4	d ang4
dang5	d ang4
dao1	d ao1
dao2	d ao2
dao3	d ao3
dao4	d ao4
dao5	d ao4
de1	d e1
de2	d e2
de3	d e3
de4	d e4
de5	d e4
dei1	d ei1
dei2	d ei2
dei3	d ei3
dei4	d ei4
dei5	d ei4
den4	d en4
deng1	d eng1
deng2	d eng2
deng3	d eng3
deng4	d eng4
deng5	d eng4
di1	d i1
di2	d i2
di3	d i3
di4	d i4
di5	d i4
dia1	d ia1
dia2	d ia2
dia3	d ia3
dia4	d ia4
dia5	d ia4
dian1	d ian1
dian2	d ian2
dian3	d ian3
dian4	d ian4
dian5	d ian4
diao1	d iao1
diao2	d iao2
diao3	d iao3
diao4	d iao4
diao5	d iao4
die1	d ie1
die2	d ie2
die3	d ie3
die4	d ie4
die5	d ie4
ding1	d ing1
ding2	d ing2
ding3	d ing3
ding4	d ing4
ding5	d ing4
diu1	d iou1
diu2	d iou2
diu3	d iou3
diu4	d iou4
diu5	d iou4
dong1	d ong1
dong2	d ong2
dong3	d ong3
dong4	d ong4
dong5	d ong4
dou1	d ou1
dou2	d ou2
dou3	d ou3
dou4	d ou4
dou5	d ou4
du1	d u1
du2	d u2
du3	d u3
du4	d u4
du5	d u4
duan1	d uan1
duan2	d uan2
duan3	d uan3
duan4	d uan4
duan5	d uan4
dui1	d uei1
dui2	d uei2
dui3	d uei3
dui4	d uei4
dui5	d uei4
dun1	d uen1
dun2	d uen2
dun3	d uen3
dun4	d uen4
dun5	d uen4
duo1	d uo1
duo2	d uo2
duo3	d uo3
duo4	d uo4
duo5	d uo4
e1	e1
e2	e2
e3	e3
e4	e4
e5	e4
ei1	ei1
ei2	ei2
ei3	ei3
ei4	ei4
ei5	ei4
en1	en1
en2	en2
en3	en3
en4	en4
en5	en4
eng1	eng1
er1	er1
er2	er2
er3	er3
er4	er4
er5	er4
fa1	f a1
fa2	f a2
fa3	f a3
fa4	f a4
fa5	f a4
fan1	f an1
fan2	f an2
fan3	f an3
fan4	f an4
fan5	f an4
fang1	f ang1
fang2	f ang2
fang3	f ang3
fang4	f ang4
fang5	f ang4
fei1	f ei1
fei2	f ei2
fei3	f ei3
fei4	f ei4
fei5	f ei4
fen1	f en1
fen2	f en2
fen3	f en3
fen4	f en4
fen5	f en4
feng1	f eng1
feng2	f eng2
feng3	f eng3
feng4	f eng4
feng5	f eng4
fiao4	f iao4
fo1	f o1
fo2	f o2
fo3	f o3
fo4	f o4
fo5	f o4
fou1	f ou1
fou2	f ou2
fou3	f ou3
fou4	f ou4
fou5	f ou4
fu1	f u1
fu2	f u2
fu3	f u3
fu4	f u4
fu5	f u4
ga1	g a1
ga2	g a2
ga3	g a3
ga4	g a4
ga5	g a4
gai1	g ai1
gai2	g ai2
gai3	g ai3
gai4	g ai4
gai5	g ai4
gan1	g an1
gan2	g an2
gan3	g an3
gan4	g an4
gan5	g an4
gang1	g ang1
gang2	g ang2
gang3	g ang3
gang4	g ang4
gang5	g ang4
gao1	g ao1
gao2	g ao2
gao3	g ao3
gao4	g ao4
gao5	g ao4
ge1	g e1
ge2	g e2
ge3	g e3
ge4	g e4
ge5	g e4
gei1	g ei1
gei2	g ei2
gei3	g ei3
gei4	g ei4
gei5	g ei4
gen1	g en1
gen2	g en2
gen3	g en3
gen4	g en4
gen5	g en4
geng1	g eng1
geng2	g eng2
geng3	g eng3
geng4	g eng4
geng5	g eng4
gong1	g ong1
gong2	g ong2
gong3	g ong3
gong4	g ong4
gong5	g ong4
gou1	g ou1
gou2	g ou2
gou3	g ou3
gou4	g ou4
gou5	g ou4
gu1	g u1
gu2	g u2
gu3	g u3
gu4	g u4
gu5	g u4
gua1	g ua1
gua2	g ua2
gua3	g ua3
gua4	g ua4
gua5	g ua4
guai1	g uai1
guai2	g uai2
guai3	g uai3
guai4	g uai4
guai5	g uai4
guan1	g uan1
guan2	g uan2
guan3	g uan3
guan4	g uan4
guan5	g uan4
guang1	g uang1
guang2	g uang2
guang3	g uang3
guang4	g uang4
guang5	g uang4
gui1	g uei1
gui2	g uei2
gui3	g uei3
gui4	g uei4
gui5	g uei4
gun1	g uen1
gun2	g uen2
gun3	g uen3
gun4	g uen4
gun5	g uen4
guo1	g uo1
guo2	g uo2
guo3	g uo3
guo4	g uo4
guo5	g uo4
ha1	h a1
ha2	h a2
ha3	h a3
ha4	h a4
ha5	h a4
hai1	h ai1
hai2	h ai2
hai3	h ai3
hai4	h ai4
hai5	h ai4
han1	h an1
han2	h an2
han3	h an3
han4	h an4
han5	h an4
hang1	h ang1
hang2	h ang2
hang3	h ang3
hang4	h ang4
hang5	h ang4
hao1	h ao1
hao2	h ao2
hao3	h ao3
hao4	h ao4
hao5	h ao4
he1	h e1
he2	h e2
he3	h e3
he4	h e4
he5	h e4
hei1	h ei1
hei2	h ei2
hei3	h ei3
hei4	h ei4
hei5	h ei4
hen1	h en1
hen2	h en2
hen3	h en3
hen4	h en4
hen5	h en4
heng1	h eng1
heng2	h eng2
heng3	h eng3
heng4	h eng4
heng5	h eng4
hong1	h ong1
hong2	h ong2
hong3	h ong3
hong4	h ong4
hou1	h ou1
hou2	h ou2
hou3	h ou3
hou4	h ou4
hou5	h ou4
hu1	h u1
hu2	h u2
hu3	h u3
hu4	h u4
hu5	h u4
hua1	h ua1
hua2	h ua2
hua3	h ua3
hua4	h ua4
hua5	h ua4
huai2	h uai2
huai3	h uai3
huai4	h uai4
huai5	h uai4
huan1	h uan1
huan2	h uan2
huan3	h uan3
huan4	h uan4
huan5	h uan4
huang1	h uang1
huang2	h uang2
huang3	h uang3
huang4	h uang4
huang5	h uang4
hui1	h uei1
hui2	h uei2
hui3	h uei3
hui4	h uei4
hui5	h uei4
hun1	h uen1
hun2	h uen2
hun3	h uen3
hun4	h uen4
hun5	h uen4
huo1	h uo1
huo2	h uo2
huo3	h uo3
huo4	h uo4
huo5	h uo4
ji1	j i1
ji2	j i2
ji3	j i3
ji4	j i4
ji5	j i4
jia1	j ia1
jia2	j ia2
jia3	j ia3
jia4	j ia4
jia5	j ia4
jian1	j ian1
jian2	j ian2
jian3	j ian3
jian4	j ian4
jian5	j ian4
jiang1	j iang1
jiang2	j iang2
jiang3	j iang3
jiang4	j iang4
jiang5	j iang4
jiao1	j iao1
jiao2	j iao2
jiao3	j iao3
jiao4	j iao4
jiao5	j iao4
jie1	j ie1
jie2	j ie2
jie3	j ie3
jie4	j ie4
jie5	j ie4
jin1	j in1
jin2	j in2
jin3	j in3
jin4	j in4
jin5	j in4
jing1	j ing1
jing2	j ing2
jing3	j ing3
jing4	j ing4
jing5	j ing4
jiong1	j iong1
jiong2	j iong2
jiong3	j iong3
jiong4	j iong4
jiong5	j iong4
jiu1	j iou1
jiu2	j iou2
jiu3	j iou3
jiu4	j iou4
jiu5	j iou4
ju1	j yv1
ju2	j yv2
ju3	j yv3
ju4	j yv4
ju5	j yv4
juan1	j uan1
juan2	j uan2
juan3	j uan3
juan4	j uan4
juan5	j uan4
jue1	j yve1
jue2	j yve2
jue3	j yve3
jue4	j yve4
jue5	j yve4
jun1	j yvn1
jun2	j yvn2
jun3	j yvn3
jun4	j yvn4
jun5	j yvn4
ka1	k a1
ka2	k a2
ka3	k a3
ka4	k a4
ka5	k a4
kai1	k ai1
kai2	k ai2
kai3	k ai3
kai4	k ai4
kai5	k ai4
kan1	k an1
kan2	k an2
kan3	k an3
kan4	k an4
kan5	k an4
kang1	k ang1
kang2	k ang2
kang3	k ang3
kang4	k ang4
kang5	k ang4
kao1	k ao1
kao2	k ao2
kao3	k ao3
kao4	k ao4
kao5	k ao4
ke1	k e1
ke2	k e2
ke3	k e3
ke4	k e4
ke5	k e4
kei1	k ei1
ken1	k en1
ken2	k en2
ken3	k en3
ken4	k en4
keng1	k eng1
keng2	k eng2
keng3	k eng3
keng4	k eng4
keng5	k eng2
kong1	k ong1
kong2	k ong2
kong3	k ong3
kong4	k ong4
kong5	k ong4
kou1	k ou1
kou2	k ou2
kou3	k ou3
kou4	k ou4
kou5	k ou4
ku1	k u1
ku2	k u2
ku3	k u3
ku4	k u4
ku5	k u4
kua1	k ua1
kua2	k ua2
kua3	k ua3
kua4	k ua4
kua5	k ua4
kuai1	k uai1
kuai2	k uai2
kuai3	k uai3
kuai4	k uai4
kuai5	k uai4
kuan1	k uan1
kuan2	k uan2
kuan3	k uan3
kuan4	k uan4
kuan5	k uan4
kuang1	k uang1
kuang2	k uang2
kuang3	k uang3
kuang4	k uang4
kuang5	k uang4
kui1	k uei1
kui2	k uei2
kui3	k uei3
kui4	k uei4
kui5	k uei4
kun1	k uen1
kun2	k uen2
kun3	k uen3
kun4	k uen4
kun5	k uen4
kuo1	k uo1
kuo2	k uo2
kuo3	k uo3
kuo4	k uo4
kuo5	k uo4
la1	l a1
la2	l a2
la3	l a3
la4	l a4
la5	l a4
lai1	l ai1
lai2	l ai2
lai3	l ai3
lai4	l ai4
lai5	l ai4
lan1	l an1
lan2	l an2
lan3	l an3
lan4	l an4
lan5	l an4
lang1	l ang1
lang2	l ang2
lang3	l ang3
lang4	l ang4
lang5	l ang4
lao1	l ao1
lao2	l ao2
lao3	l ao3
lao4	l ao4
lao5	l ao4
le1	l e1
le2	l e2
le3	l e3
le4	l e4
le5	l e4
lei1	l ei1
lei2	l ei2
lei3	l ei3
lei4	l ei4
lei5	l ei4
